career_talk_id,company_name,meet_name,meet_time,meet_day,address,room,company_property,scale,industry_category,city_name,professionals,career_type,a_meet_end_time,a_meet_time,career_state,company_id,hotcount,is_above_bachelor_degree,is_above_college_degree,is_above_doctor_degree,is_above_master_degree,is_yun,meet_day_d,meet_day_m,meet_type,overdue,recruit_type,school_name,view_count
631323,南方医科大学南方医院,南方医科大学南方医院（第一临床医学院）研究生招生宣讲,14:30,2024-09-27,411教室/第一教学楼,,医疗卫生单位,1000-5000人,卫生和社会工作,广州市,临床医学,,1727424000,1727418600,0,70671,8,1,0,0,0,0,27,09,0,0,,重庆医科大学,2543
632794,招商银行股份有限公司重庆分行,“梦想靠岸”招商银行重庆分行2025届秋季校园招聘宣讲会,14:30,2024-09-26,崇仁楼玉衡学术报告厅,,其他企业（含民营企业等）,1000-5000人,金融业,江北,不限专业,,1727337600,1727332200,0,161655,0,0,0,0,0,0,26,09,0,0,,长江师范学院,2273
632879,重庆宗申动力机械股份有限公司,2025届毕业生秋季校园招聘,12:30,2024-09-26,大学生创业就业中心宣讲室（一）,,其他企业（含民营企业等）,5000-10000人,制造业,重庆市,不限专业,,1727330400,1727325000,0,287874,0,0,0,0,0,0,26,09,0,0,,重庆工商职业学院,532
632795,古蔺郎酒庄园有限公司,古蔺郎酒庄园有限公司,08:30,2024-09-26,崇仁楼玉衡学术报告厅,,其他企业（含民营企业等）,10000人以上,住宿和餐饮业,泸州市,,,1727316000,1727310600,0,558472,0,0,0,0,0,0,26,09,0,0,,长江师范学院,1874
632637,重庆金康动力新能源有限公司,重庆金康动力新能源有限公司,14:00,2024-09-25,大学生创业就业中心宣讲室（一）,,其他企业（含民营企业等）,1000-5000人,制造业,沙坪坝,"机械制造与自动化,机电一体化技术,模具设计与制造,新能源汽车技术,汽车制造与装配技术,汽车检测与维修技术,汽车营销与服务,汽车车身维修技术,制造自动化与测控技术,电力工程及自动化,工业机器人技术",,1727251200,1727244000,0,168143,0,0,1,0,0,0,25,09,0,0,,重庆工商职业学院,491
633601,天港酒店集团有限公司,天港酒店集团有限公司,14:30,2024-09-24,崇仁楼玉衡学术报告厅,,其他企业（含民营企业等）,1000-5000人,住宿和餐饮业,宁波市,,,1727164800,1727159400,0,387542,0,0,0,0,0,0,24,09,0,0,,长江师范学院,1094
633577,奇瑞汽车股份有限公司,奇瑞汽车股份有限公司,12:30,2024-09-24,大学生创业就业中心宣讲室（一）,,国有企业,10000人以上,制造业,芜湖市,"新能源汽车技术,汽车制造与装配技术,汽车制造与试验技术,汽车智能技术,汽车检测与维修技术",,1727157600,1727152200,0,50685,14,0,1,0,0,0,24,09,0,0,,重庆工商职业学院,473
629694,远大生命科学集团有限公司,远大生命科学集团有限公司,14:30,2024-09-23,411教室/第一教学楼,,其他企业（含民营企业等）,5000-10000人,制造业,北京市,不限专业,,1727078400,1727073000,0,590074,0,1,0,0,0,0,23,09,0,0,,重庆医科大学,3311
631057,常州市卫生健康委员会,江苏省常州市卫生健康委员会2024年校园招聘宣讲会（重庆医科大学站）,14:30,2024-09-19,411教室/第一教学楼,,机关,10000人以上,卫生和社会工作,常州市,临床医学,,1726732800,1726727400,0,613444,0,1,0,0,0,0,19,09,0,0,,重庆医科大学,3333
626075,中国移动通信集团重庆有限公司,重庆移动2025校园招聘,14:30,2024-09-12,崇礼楼214,,国有企业,1000-5000人,信息传输、软件和信息技术服务业,重庆市,不限专业,,1726128000,1726122600,0,16443,3,1,0,0,0,0,12,09,0,0,,长江师范学院,1350
626943,普米斯生物技术（珠海）有限公司,普米斯生物技术（珠海）有限公司,14:30,2024-09-12,411,,外商投资企业,150-500人,科学研究和技术服务业,珠海市,"免疫学,生物化学与分子生物学,细胞生物学,药物化学,药学,药物分析学,药剂学,药物制剂,微生物与生化药学",,1726128000,1726122600,0,352955,0,0,0,0,1,0,12,09,0,0,,重庆医科大学,2768
623260,克孜勒苏柯尔克孜自治州实验中学,克州实验中学校园招聘会,14:30,2024-05-29,崇仁楼玉衡学术报告厅,,中等、初等教育单位,1000-5000人,教育,克孜勒苏柯尔克孜自治州,"思想政治教育(师范),思想政治教育（师范）,思想政治教育,政治学与行政学,应用统计学,数学与应用数学",,1716969600,1716964200,0,605940,0,0,0,0,0,0,29,05,0,0,,长江师范学院,1365
621680,四川大学华西医院（四川省国际医院）,四川大学华西临床医学院2025年研究生招生宣讲,16:00,2024-05-16,场地二/一教205教室/袁家岗校区第一教学楼（原新教学楼）,,高等教育单位,10000人以上,教育,成都市,基础医学、临床医学、临床医学(儿科医学方向)(5+3),,1715853600,1715846400,0,374278,0,1,0,0,0,0,16,05,0,0,,重庆医科大学,4717
